id,product_name,price,reviews_count,avg_rate,brand
457,Tornado THB-600M Electric Hand Blender - 600 W,EGP 755.00,11 verified ratings,4.4/5,Tornado
458,Socks - Set Of (12) Ankle Socks - For Kids,EGP 69.00,48 verified ratings,3.6/5,(48 verified ratings)
459,Mesery Bundle OF (4) - No Show Cotton Panties,EGP 59.00,49 verified ratings,3.7/5,Mesery
460,Desert Fashion / Sportive Canvas Slip On Sneakers - Grey,EGP 259.00,16 verified ratings,3.7/5,Desert
461,Embrator Bundle Of Three 100% Pure Cotton Solid Sleeveless - White,EGP 129.99 - EGP 130.00,256 verified ratings,4.4/5,Embrator
462,Ho Holland Men's Polo Shirt - Multi Color,EGP 195.00,140 verified ratings,4.2/5,Ho Holland
463,"Pampers Pants with lotion with Olive Oil Size 6, 24 diapers, 16+ kg",EGP 80.00,10 verified ratings,4.7/5,Pampers
464,Dettol Original Soap Bar – 165gm – 4 PCS,EGP 49.87,14 verified ratings,4.8/5,Dettol
465,Lipton Chamomile leaves Tea Bags - 20 Bags,EGP 14.25,239 verified ratings,4.4/5,Lipton
466,Durex Fetherlite Ultra Condoms - 10 Pcs,EGP 136.00,185 verified ratings,4.5/5,Durex
467,"NIVEA Micellar Water Makeup Remover, All Skin Types - 400ml",EGP 112.00,47 verified ratings,4.5/5,NIVEA
468,Star Fusilli Pasta - 1kg,EGP 17.00,115 verified ratings,4.3/5,Star
469,Karimed GOLDEN STRAND Integrated Shampoo + Conditioner Free Sulfate 400ML,EGP 91.00,92 verified ratings,4.2/5,Karimed
470,Magic Detangling Hair Brush,EGP 44.00,1266 verified ratings,3.9/5,(1266 verified ratings)
471,Wet Baby Sensitive Wipes Aloe Vera With Cap - Vitamin E – 72 Wipes,EGP 17.00,5 verified ratings,4.6/5,(5 verified ratings)
472,AM-Shop Set Of (12) Socks - For Kids,EGP 69.00,72 verified ratings,3.9/5,AM-Shop
473,American Eagle Polo Shirt,EGP 325.00,218 verified ratings,4.7/5,American Eagle
474,NIVEA Soft Freshies Refreshing & Moisturizing Cream - Berry Blossom - 100ml,EGP 27.95,772 verified ratings,4.5/5,NIVEA
475,Activ Bi-Toned Navy Blue & Burgundy Backpack,EGP 169.00,3 verified ratings,4/5,Activ
476,Eyelash Curler To Lift Eyelashes Up,EGP 19.99,49 verified ratings,3.9/5,(49 verified ratings)
477,Steviadiet Diet Sugar Jar - 300 Gm,EGP 80.00,43 verified ratings,3.9/5,(43 verified ratings)
478,Al Wedad Two Piece Of Warmer Set With Padded Inside - Pink,EGP 69.00 - EGP 140.00,173 verified ratings,4.5/5,Al Wedad
479,White Comfortable Sneaker,EGP 179.00,113 verified ratings,3.9/5,(113 verified ratings)
480,Me Now Pro Lash Doubling Mascara - 10 Ml,EGP 49.00,194 verified ratings,4.2/5,Me Now Pro
481,"Outdoor Distinctive Adult Cap , Summer Hat - Black",EGP 47.00,130 verified ratings,3.8/5,(130 verified ratings)
482,Karimed GOLDEN STRAND Integrated Free Sulfate Shampoo 400ML,EGP 119.00,594 verified ratings,4.1/5,Karimed
483,Sokany Coffee Blender And Hand Mixer USB Charging - White,EGP 175.00,,,Sokany
484,Stainless Steel Auto Rotating Whisk,EGP 24.24,466 verified ratings,4.1/5,(466 verified ratings)
485,Crystal White Vegetable Ghee - 1.5 Kg,EGP 71.55,12 verified ratings,4.8/5,Crystal
486,Mesery Bundle Of Three Long Slim Legging - Black,EGP 199.99,199 verified ratings,4.3/5,Mesery
487,Karimed SNOW SHINE Free Sulfate Face Wash Gel Sensitive Skin 150ML Plus Micellar Water 100ml,EGP 104.00,12 verified ratings,4.9/5,Karimed
488,Imtenan Egyptian Mountain Honey - 1 Kg,EGP 690.00,,,Imtenan
489,Mesery Bundle Of Three Solid Slip On Underwear,EGP 79.00,247 verified ratings,4.3/5,Mesery
490,"Harpic Harpic Original Toilet Cleaner, 100% Limescale Remover, 450ml",EGP 25.45,48 verified ratings,4.7/5,Harpic
491,Emami Kesh King Shampoo Anti-Hair Fall Milk Protein - 21 Herbs - 340ml,EGP 165.00,74 verified ratings,4.4/5,Emami
492,VGR VGR- V-030-Rechargeable Hair Shaver + Gift Bag From Dukan Alaa,EGP 165.00,657 verified ratings,4.2/5,VGR
493,Celebrat Stereo Sound Earphone Celebrat G 6- Color -black,EGP 49.00,98 verified ratings,4.4/5,Celebrat
494,Anti-lost Car Keychain Phone Number Card Keyring Leather Braided Phone Number Plate Key Ring,EGP 130.00,97 verified ratings,3.9/5,(97 verified ratings)
495,Lama Black- Elastic Legged Pants,EGP 110.00 - EGP 125.00,379 verified ratings,3.9/5,Lama
496,Vaseline Body Gel Oil Cocoa Radiant Body Oil 200ml,EGP 275.00,404 verified ratings,4.5/5,Vaseline
497,"Dolive Shower Gel, Body Wash, 2000 Ml, Candy Fruit",EGP 70.00,23 verified ratings,4.2/5,Dolive
498,ATA ATA 32HON - 32-inch HD TV,"EGP 2,115.00",63 verified ratings,4.3/5,ATA
499,White Gentle Baby Wipes - 20 Tissue,EGP 9.95,62 verified ratings,4.6/5,White
500,Double Face Adhesive Tape - Clear,EGP 24.99 - EGP 49.99,140 verified ratings,4.1/5,(140 verified ratings)
501,Luna Strawberry Special Lip Moisturizer - 3.5 GM,EGP 14.00,167 verified ratings,4.5/5,Luna
502,Wendy Wet Wipes Rose Scent With Cap – 120 Wipes,EGP 19.00,9 verified ratings,4.9/5,(9 verified ratings)
503,Dettol Antiseptic Liquid Cleaner - 235 ML,EGP 36.00,30 verified ratings,4.3/5,Dettol
504,Bow Pants For School - Sweatpants Kids Cotton100%,EGP 375.00,3 verified ratings,4.7/5,Bow
505,Fresh Electric Kettle - 1.7L-Black,EGP 311.00,1462 verified ratings,4.4/5,Fresh
506,Frida Hands liquid Hand wash Wild berries 520 gm economy,EGP 39.95,11 verified ratings,4.8/5,Frida
507,"Smart Scent Car Freshener, Smart Scent, Strawberry Mini Paper",EGP 10.00,9 verified ratings,4.9/5,Smart Scent
508,Chefy Mix Far Eastern Seasoning - 90g,EGP 14.50,114 verified ratings,4.6/5,Chefy Mix
509,Embrator Bundle Of Six Printed Boxer - For Men,EGP 239.99,367 verified ratings,4.1/5,Embrator
510,Sokany Hot Air Comb Multi Functional And Versatile Styling Comb,EGP 335.00,1 verified rating,5/5,Sokany
511,Staedtler Fiber-tip Colored pens - 12 pens,EGP 35.00,82 verified ratings,4.5/5,Staedtler
512,"Dolive Shower Gel, Body Wash, 2000 Ml, Raspberry",EGP 70.00,17 verified ratings,4/5,Dolive
513,Dettol MAC Antibacterial Disinfectant 3xPower Floor Cleaner - lemon Scent - 1.3Litre,EGP 54.00,4 verified ratings,4/5,Dettol
514,Lipton Mint Green Tea - 25 Bags,EGP 14.95,85 verified ratings,4.5/5,Lipton
515,Karimed Brilliant Touch Hand Wash 3 Pcs. With Moisturizer 500ML,EGP 64.90,7 verified ratings,3.9/5,Karimed
516,Dermatique Maquillage Concealer+Blender Warm Light 10ml,EGP 160.00,128 verified ratings,4.2/5,Dermatique
517,Servet Sneakers Comfort Sport Shoes For Women - Black - Servet El Turkey,EGP 285.00,6 verified ratings,4/5,Servet
518,American Eagle Training Jogger,EGP 350.00,,,American Eagle
519,Izor Mandarin Collar Pique Polo Shirt - Maroon,EGP 119.00 - EGP 139.00,478 verified ratings,4/5,Izor
